core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
12,271,0.007710692539691573,seed_sum_band,27-36,11,2480,0.004435483870967742,0.575238066896798,-0.0032752086687238306,771.0692539691572
12,271,0.007710692539691573,seed_high_count,4,10,2153,0.004644681839294009,0.6023689591285137,-0.003066010700397564,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,9,8,1682,0.0047562425683709865,0.616837274199139,-0.002954449971320586,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,8,9,1775,0.0050704225352112674,0.6575832856920119,-0.002640270004480305,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,9,18,3480,0.005172413793103448,0.6708105356915638,-0.0025382787465881244,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,6,9,1714,0.005250875145857643,0.6809861914255082,-0.0024598173938339294,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,7,9,1680,0.005357142857142857,0.6947680548234053,-0.0023535496825487154,771.0692539691572
12,271,0.007710692539691573,seed_even_count,4,12,2213,0.005422503389064619,0.7032446646201663,-0.002288189150626954,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,0,21,3589,0.005851212036779047,0.7588439049617579,-0.0018594805029125252,771.0692539691572
12,271,0.007710692539691573,seed_prime_count,0,28,4610,0.006073752711496746,0.7877052132777292,-0.0016369398281948265,771.0692539691572
12,271,0.007710692539691573,seed_structure,AAAB,8,1266,0.00631911532385466,0.8195262995283981,-0.0013915772158369123,771.0692539691572
12,271,0.007710692539691573,seed_unique_count,2,14,2212,0.006329113924050633,0.8208230183567659,-0.0013815786156409398,771.0692539691572
12,271,0.007710692539691573,seed_structure,AABB,6,946,0.006342494714587738,0.8225583735752791,-0.001368197825103835,771.0692539691572
12,271,0.007710692539691573,seed_prime_count,4,6,933,0.006430868167202572,0.83401952990591,-0.0012798243724890003,771.0692539691572
12,271,0.007710692539691573,seed_vtrac_unique,2,53,7942,0.006673382019642408,0.8654711603776829,-0.0010373105200491648,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,2,12,1756,0.00683371298405467,0.8862644890685809,-0.0008769795556369028,771.0692539691572
12,271,0.007710692539691573,seed_repeat_digit,0,12,1727,0.006948465547191662,0.9011467532162293,-0.0007622269924999108,771.0692539691572
12,271,0.007710692539691573,seed_trail_band,7-9,75,10620,0.007062146892655367,0.9158900911043009,-0.0006485456470362054,771.0692539691572
12,271,0.007710692539691573,seed_consecutive_pairs,1,117,16392,0.007137628111273792,0.9256792531322092,-0.0005730644284177803,771.0692539691572
12,271,0.007710692539691573,seed_prime_count,1,87,12149,0.007161083216725656,0.9287211466237635,-0.0005496093229659165,771.0692539691572
12,271,0.007710692539691573,seed_high_count,1,63,8787,0.007169682485489928,0.929836386107118,-0.0005410100542016447,771.0692539691572
12,271,0.007710692539691573,seed_structure,AABC,109,15120,0.007208994708994709,0.9349347898240887,-0.0005016978306968635,771.0692539691572
12,271,0.007710692539691573,seed_unique_count,3,109,15120,0.007208994708994709,0.9349347898240887,-0.0005016978306968635,771.0692539691572
12,271,0.007710692539691573,seed_vtrac_unique,4,49,6778,0.007229271171437002,0.9375644449864386,-0.00048142136825457017,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,4,26,3579,0.0072645990500139705,0.9421461188626974,-0.0004460934896776021,771.0692539691572
12,271,0.007710692539691573,seed_sum_mod3,1,86,11808,0.0072831978319783195,0.9445581955819558,-0.00042749470771325307,771.0692539691572
12,271,0.007710692539691573,seed_even_count,1,64,8736,0.007326007326007326,0.9501101604422637,-0.0003846852136842466,771.0692539691572
12,271,0.007710692539691573,seed_sum_mod3,2,88,11906,0.007391231311943558,0.9585690615851228,-0.00031946122774801494,771.0692539691572
12,271,0.007710692539691573,seed_mirror_pairs_any,no,139,18783,0.007400308789863174,0.9597463200314802,-0.00031038374982839817,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,1,26,3502,0.0074243289548829245,0.9628614961192444,-0.0002863635848086481,771.0692539691572
12,271,0.007710692539691573,seed_spread_band,7-9,113,15212,0.007428346042597949,0.963382472373238,-0.00028234649709362337,771.0692539691572
12,271,0.007710692539691573,seed_sum_lastdigit,3,26,3483,0.007464829170255527,0.9681139705453902,-0.0002458633694360458,771.0692539691572
12,271,0.007710692539691573,seed_lead_band,7-9,79,10530,0.007502374169040836,0.9729831828232812,-0.00020831837065073654,771.0692539691572
12,271,0.007710692539691573,seed_lead_band,4-6,80,10552,0.0075815011372251705,0.9832451622469219,-0.00012919140246640207,771.0692539691572
12,271,0.007710692539691573,seed_sum_mod2,1,134,17510,0.007652769845802399,0.9924880036921443,-5.792269388917373e-05,771.0692539691572
12,271,0.007710692539691573,seed_even_count,2,102,13273,0.007684773600542455,0.9966385718253326,-2.5918939149117623e-05,771.0692539691572
13,287,0.008165936379673363,seed_even_count,0,10,2150,0.004651162790697674,0.5695810712259947,-0.003514773588975688,816.5936379673362
13,287,0.008165936379673363,seed_repeat_digit,1,9,1810,0.004972375690607734,0.6089167805648064,-0.003193560689065628,816.5936379673362
13,287,0.008165936379673363,seed_repeat_digit,5,9,1767,0.0050933786078098476,0.6237347893731181,-0.003072557771863515,816.5936379673362
13,287,0.008165936379673363,seed_repeat_digit,4,9,1749,0.005145797598627788,0.6301540153357917,-0.003020138781045575,816.5936379673362
13,287,0.008165936379673363,seed_sum_lastdigit,0,19,3589,0.005293953747561995,0.6482972070098044,-0.002871982632111368,816.5936379673362
13,287,0.008165936379673363,seed_structure,AAAB,7,1266,0.005529225908372828,0.6771086194274265,-0.0026367104713005346,816.5936379673362
13,287,0.008165936379673363,seed_prime_count,4,6,933,0.006430868167202572,0.7875236676115038,-0.0017350682124707903,816.5936379673362
13,287,0.008165936379673363,seed_repeat_digit,6,12,1714,0.007001166861143524,0.8573624059294436,-0.0011647695185298384,816.5936379673362
13,287,0.008165936379673363,seed_prime_count,3,38,5340,0.007116104868913857,0.8714377063513813,-0.0010498315107595052,816.5936379673362
13,287,0.008165936379673363,seed_sum_lastdigit,2,25,3501,0.007140816909454442,0.8744639411138878,-0.0010251194702189208,816.5936379673362
13,287,0.008165936379673363,seed_sum_band,18-26,116,16140,0.007187112763320942,0.8801333281521876,-0.0009788236163524207,816.5936379673362
13,287,0.008165936379673363,seed_high_count,2,96,13330,0.007201800450112528,0.8819319812531531,-0.0009641359295608342,816.5936379673362
13,287,0.008165936379673363,seed_unique_count,2,16,2212,0.007233273056057866,0.8857861143840061,-0.0009326633236154966,816.5936379673362
13,287,0.008165936379673363,seed_prime_count,1,88,12149,0.007243394518067331,0.8870255879163568,-0.000922541861606032,816.5936379673362
13,287,0.008165936379673363,seed_sum_band,0-9,18,2452,0.00734094616639478,0.898971755972512,-0.0008249902132785826,816.5936379673362
13,287,0.008165936379673363,seed_prime_count,0,34,4610,0.00737527114967462,0.9031751910329763,-0.0007906652299987426,816.5936379673362
13,287,0.008165936379673363,seed_vtrac_unique,2,59,7942,0.007428859229413246,0.9097375835434074,-0.0007370771502601169,816.5936379673362
13,287,0.008165936379673363,seed_high_count,0,16,2149,0.007445323406235459,0.9117537854897262,-0.0007206129734379039,816.5936379673362
13,287,0.008165936379673363,seed_sum_mod2,0,132,17636,0.0074846904059877525,0.9165746655360472,-0.00068124597368561,816.5936379673362
13,287,0.008165936379673363,seed_structure,AABC,114,15120,0.00753968253968254,0.9233089983961065,-0.0006262538399908228,816.5936379673362
13,287,0.008165936379673363,seed_unique_count,3,114,15120,0.00753968253968254,0.9233089983961065,-0.0006262538399908228,816.5936379673362
