core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,lift,baseline_rate_per_100k
012,110,0.0013755330190448798,seed_sum_range4_best,3-6,6,1498,2.9118460978274068,137.55330190448797
012,110,0.0013755330190448798,seed_structure,AABB,7,2148,2.3691510072794992,137.55330190448797
012,110,0.0013755330190448798,seed_high_count,0,14,4985,2.041699644387709,137.55330190448797
012,110,0.0013755330190448798,seed_even_count,0,11,4934,1.6207742197000408,137.55330190448797
012,110,0.0013755330190448798,seed_even_count,4,11,4945,1.6171688574317493,137.55330190448797
012,110,0.0013755330190448798,seed_high_count,4,10,4918,1.478224703316204,137.55330190448797
012,110,0.0013755330190448798,seed_spread,<=2,8,4317,1.3472150272706216,137.55330190448797
012,110,0.0013755330190448798,overlap_unique,3,3,1657,1.3162176990179404,137.55330190448797
012,110,0.0013755330190448798,seed_first_in_core,yes,41,24000,1.2419428030303032,137.55330190448797
012,110,0.0013755330190448798,seed_sum_mod2,even,64,39951,1.164612104373312,137.55330190448797
013,120,0.0015005814753216871,seed_structure,AABB,6,2148,1.861475791433892,150.0581475321687
013,120,0.0015005814753216871,seed_sum_range4_best,7-10,13,6373,1.3593767979496836,150.0581475321687
013,120,0.0015005814753216871,seed_sum_mod3,0,49,26368,1.2383953403114887,150.0581475321687
013,120,0.0015005814753216871,seed_high_count,2,56,30237,1.234211947834331,150.0581475321687
013,120,0.0015005814753216871,seed_even_count,0,9,4934,1.2155806647750305,150.0581475321687
013,120,0.0015005814753216871,seed_even_count,2,53,30072,1.1745025826904318,150.0581475321687
013,120,0.0015005814753216871,seed_last_in_core,yes,42,23987,1.1668466252553467,150.0581475321687
013,120,0.0015005814753216871,seed_sum_mod2,even,67,39951,1.1176030220353266,150.0581475321687
013,120,0.0015005814753216871,seed_high_count,4,8,4918,1.0840314490985496,150.0581475321687
013,120,0.0015005814753216871,seed_structure,AABC,55,34212,1.0713334015355236,150.0581475321687
016,120,0.0015005814753216871,seed_sum_range4_best,5-8,9,3472,1.7274409562211983,150.0581475321687
016,120,0.0015005814753216871,seed_even_count,2,58,30072,1.2853047131329254,150.0581475321687
016,120,0.0015005814753216871,seed_last_in_core,yes,44,24097,1.2168305874866858,150.0581475321687
016,120,0.0015005814753216871,seed_high_count,3,36,19954,1.2023002906685376,150.0581475321687
016,120,0.0015005814753216871,seed_sum_mod2,even,72,39951,1.201006232634978,150.0581475321687
016,120,0.0015005814753216871,seed_sum_mod3,2,44,26879,1.0908875578208515,150.0581475321687
016,120,0.0015005814753216871,seed_spread,<=2,7,4317,1.0805787197899777,150.0581475321687
016,120,0.0015005814753216871,seed_even_count,4,8,4945,1.0781125716211661,150.0581475321687
016,120,0.0015005814753216871,seed_high_count,0,8,4985,1.0694617184887998,150.0581475321687
016,120,0.0015005814753216871,seed_spread,>=6,77,48282,1.06278616599699,150.0581475321687
017,109,0.001363028173417199,seed_sum_range4_best,29-32,6,2331,1.8884441453248793,136.3028173417199
017,109,0.001363028173417199,seed_even_count,0,12,4934,1.7843385904954576,136.3028173417199
017,109,0.001363028173417199,seed_structure,AAAB,6,2934,1.5003283240464533,136.3028173417199
017,109,0.001363028173417199,overlap_unique,3,3,1716,1.2826233399627895,136.3028173417199
017,109,0.001363028173417199,seed_high_count,2,52,30237,1.2617107723601289,136.3028173417199
017,109,0.001363028173417199,seed_sum_mod3,1,45,26722,1.235488540178213,136.3028173417199
017,109,0.001363028173417199,seed_sum_mod2,even,60,39951,1.1018405803990623,136.3028173417199
017,109,0.001363028173417199,overlap_unique,>=2,30,20189,1.090188543947767,136.3028173417199
017,109,0.001363028173417199,seed_contains_core_pair,yes,30,20189,1.090188543947767,136.3028173417199
017,109,0.001363028173417199,seed_sum_mod3,2,39,26879,1.0645024542538752,136.3028173417199
018,113,0.0014130475559279221,seed_even_count,4,12,4945,1.7173474592195566,141.30475559279222
018,113,0.0014130475559279221,overlap_unique,>=2,42,20313,1.4632496997214828,141.30475559279222
018,113,0.0014130475559279221,seed_contains_core_pair,yes,42,20313,1.4632496997214828,141.30475559279222
018,113,0.0014130475559279221,seed_high_count,0,10,4985,1.4196394493214155,141.30475559279222
018,113,0.0014130475559279221,seed_sum_range4_best,27-30,9,4623,1.3777227751201668,141.30475559279222
018,113,0.0014130475559279221,seed_structure,AAAB,5,2934,1.2060161306863082,141.30475559279222
018,113,0.0014130475559279221,seed_sum_mod3,2,44,26879,1.1584646631725855,141.30475559279222
018,113,0.0014130475559279221,seed_spread,<=2,7,4317,1.1475172245557284,141.30475559279222
018,113,0.0014130475559279221,seed_last_in_core,yes,39,24059,1.1471765390906645,141.30475559279222
018,113,0.0014130475559279221,seed_even_count,1,32,19997,1.1324742959231495,141.30475559279222
019,130,0.0016256299315984945,seed_sum_range4_best,29-32,6,2331,1.5833877833877832,162.56299315984944
019,130,0.0016256299315984945,seed_high_count,4,11,4918,1.3758860700096973,162.56299315984944
019,130,0.0016256299315984945,seed_sum_mod3,0,52,26368,1.2131219660194175,162.56299315984944
019,130,0.0016256299315984945,seed_high_count,2,59,30237,1.2003050261905306,162.56299315984944
019,130,0.0016256299315984945,seed_even_count,3,39,20021,1.1982768093501823,162.56299315984944
019,130,0.0016256299315984945,seed_even_count,0,9,4934,1.1220744597923356,162.56299315984944
019,130,0.0016256299315984945,seed_structure,ABCD,73,40580,1.106596087500474,162.56299315984944
019,130,0.0016256299315984945,seed_contains_core_pair,no,102,59805,1.0491582257722212,162.56299315984944
019,130,0.0016256299315984945,seed_spread,>=6,81,48282,1.0319961571918823,162.56299315984944
019,130,0.0016256299315984945,seed_sum_mod2,odd,67,40018,1.029906349834882,162.56299315984944
